,lon,lat,POLYGON,portion,subportion,multiple
17,-86.80903089599997,33.53271423600006,P5,1,1,False
18,-86.80903037699994,33.53271443800003,P5,1,1,False
19,-86.80902982499998,33.532714562000024,P5,1,1,False
20,-86.80902925499998,33.532714604000034,P5,1,1,False
21,-86.80902868499999,33.532714562000024,P5,1,1,False
22,-86.80902813299997,33.53271443800003,P5,1,1,False
23,-86.80902761399994,33.53271423600006,P5,1,1,False
24,-86.80902714599995,33.53271396100007,P5,1,1,False
25,-86.80902674099997,33.532713622000074,P5,1,1,False
26,-86.80902640299996,33.53271321600005,P5,1,1,False
27,-86.80902565199995,33.53271209600007,P5,1,1,False
28,-86.80902542899997,33.53271169000004,P5,1,1,False
29,-86.80902528099995,33.53271122700005,P5,1,1,False
30,-86.80902523199995,33.532710750000035,P5,1,1,False
31,-86.80902528099995,33.53271027300008,P5,1,1,False
32,-86.80902542899997,33.53270981000003,P5,1,1,False
33,-86.80902567099997,33.53270937600007,P5,1,1,False
34,-86.80902599899997,33.53270898400007,P5,1,1,False
35,-86.80902640399995,33.53270864500007,P5,1,1,False
36,-86.80902687199995,33.53270837000008,P5,1,1,False
37,-86.80902739099997,33.532708168000056,P5,1,1,False
38,-86.80902794299999,33.53270804400006,P5,1,1,False
0,-86.80716669699996,33.53267740500007,P5,2,1,True
1,-86.80716726699995,33.53267736300006,P5,2,1,True
2,-86.80716783699995,33.53267740500007,P5,2,1,True
3,-86.80716838899997,33.53267752900007,P5,2,1,True
4,-86.80716890799994,33.532677731000035,P5,2,1,True
5,-86.80716937599999,33.532678006000026,P5,2,1,True
6,-86.80716978099997,33.53267834500008,P5,2,1,True
7,-86.80717011399997,33.532678745000055,P5,2,1,True
8,-86.80717104999997,33.532680123000034,P5,2,1,True
9,-86.80717127999998,33.53268054100005,P5,2,1,True
10,-86.80717142899994,33.53268100400004,P5,2,1,True
11,-86.80717147799999,33.532681481000054,P5,2,1,True
12,-86.80717142899994,33.53268195800007,P5,2,1,True
13,-86.80717127999998,33.53268242100006,P5,2,1,True
14,-86.80717103899997,33.532682855000076,P5,2,1,True
15,-86.80717071099997,33.53268324700008,P5,2,1,True
16,-86.80717030599999,33.532683586000076,P5,2,1,True
17,-86.80716983799994,33.532683861000066,P5,2,1,True
18,-86.80716931899997,33.53268406300003,P5,2,1,True
19,-86.80716876699995,33.53268418700003,P5,2,1,True
20,-86.80716819699995,33.53268422900004,P5,2,1,True
21,-86.80716762699996,33.53268418700003,P5,2,1,True
22,-86.80716707499994,33.53268406300003,P5,2,1,True
23,-86.80716655599997,33.532683861000066,P5,2,1,True
24,-86.80716608799997,33.532683586000076,P5,2,1,True
25,-86.80716568299994,33.53268324700008,P5,2,1,True
26,-86.80716534899994,33.532682847000046,P5,2,1,True
27,-86.80716441399994,33.53268146900007,P5,2,1,True
28,-86.80716418399999,33.532681051000054,P5,2,1,True
29,-86.80716403499997,33.53268058800006,P5,2,1,True
