OBJECTID *,Survey Type,Leak Location,Leak Grade,Marked Flag,Leak Located,Probable Source,Gas In,Surface Type,CGI Test Gas,CGI Test LEL,CGI Test PPM,Detected By,Meter Number,Confirm Meter Number,House Number,Street,Street 2,Apt/Suite,City,Comments,Survey Year,Survey Contractor,Grade 1 Notification,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATION,REPORTNUMBER,NOTSTATUS,Work Location,X,Y
20848,3 Year,Underground,Grade 3,No,Main,Main,Street,Unsurfaced,7,<Null>,<Null>,CGI,<Null>,<Null>,2892,35TH AVE N,<Null>,<Null>,Birmingham,On/near gas pipeline - between street and sidewalk,2020,Southern Cross,<Null>,<Null>,2/19/20 18:16,Jackie.Butts1,2/19/20 18:16,Jackie.Butts1,10579328,9200020848,<Null>,<Null>,-86.81232,33.559054
20849,3 Year,Underground,Grade 3,No,Main,Main,Curb,Concrete,<Null>,14,<Null>,CGI,<Null>,<Null>,2864,35TH AVE N,<Null>,<Null>,Birmingham,"Storm drain, on/near gas pipeline, strong gas odor",2020,Southern Cross,<Null>,<Null>,2/19/20 18:33,Jackie.Butts1,2/19/20 18:33,Jackie.Butts1,10579329,9200020849,<Null>,<Null>,-86.81272,33.558962
20850,3 Year,Underground,Grade 3,No,Valve,Main,10' - 20' FRM Building,Unsurfaced,<Null>,5,<Null>,CGI,<Null>,<Null>,2848,35TH AVE N,<Null>,<Null>,Birmingham,Gas valve/substructure,2020,Southern Cross,<Null>,<Null>,2/19/20 18:44,Jackie.Butts1,2/19/20 18:49,Jackie.Butts1,10579330,9200020850,<Null>,<Null>,-86.814372,33.558465
20851,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,4,<Null>,CGI,<Null>,<Null>,2848,35TH AVE N,<Null>,<Null>,Birmingham,City of Birmingham Sanitary Sewer ,2020,Southern Cross,<Null>,<Null>,2/19/20 18:48,Jackie.Butts1,2/19/20 18:48,Jackie.Butts1,10579331,9200020851,<Null>,<Null>,-86.814375,33.5584
20852,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,30,<Null>,CGI,<Null>,<Null>,2844,35TH AVE N,<Null>,<Null>,Birmingham,"Below ground - on/near gas pipeline, <5' from street, near fire hydrant ",2020,Southern Cross,<Null>,<Null>,2/19/20 19:02,Jackie.Butts1,2/19/20 19:02,Jackie.Butts1,10579332,9200020852,<Null>,<Null>,-86.814556,33.558428
20854,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,33,<Null>,CGI,<Null>,<Null>,2844,35TH AVE N,<Null>,<Null>,Birmingham,Below ground - on/near gas pipeline ,2020,Southern Cross,<Null>,<Null>,2/19/20 19:42,Jackie.Butts1,2/19/20 19:42,Jackie.Butts1,10579334,9200020854,<Null>,<Null>,-86.814595,33.558309
20856,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,<Null>,75,<Null>,Soap,BA819200,BA819200,2458,39TH AVE N,<Null>,<Null>,Birmingham,"Exposed/damaged gas line, gas odor, hissing, residence is vacant/unoccupied",2020,Southern Cross,<Null>,<Null>,2/19/20 20:59,Jackie.Butts1,2/19/20 21:25,Jackie.Butts1,10578983,9200020856,<Null>,<Null>,-86.821466,33.560653
20858,3 Year,Underground,Grade 3,No,Service Cock,Service,<10' FRM Building,Unsurfaced,<Null>,<Null>,172,CGI,BA808176,BA808176,2442,39TH AVE N,<Null>,<Null>,Birmingham,Service cock/shut off/union,2020,Southern Cross,<Null>,<Null>,2/21/20 14:31,Jackie.Butts1,2/21/20 14:31,Jackie.Butts1,10579335,9200020858,<Null>,<Null>,-86.821875,33.560422
20867,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,15,<Null>,<Null>,CGI,<Null>,<Null>,3922,24TH ST N,<Null>,<Null>,Birmingham,"Under sidewalk. no gas odor, >50+ from buildings/residences; near Carver HS",2020,Southern Cross,<Null>,<Null>,2/21/20 16:24,Jackie.Butts1,2/21/20 16:24,Jackie.Butts1,10579344,9200020867,<Null>,<Null>,-86.82296,33.560294
20869,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,2418,37TH AVE N,24th St,<Null>,Birmingham,Bell System manhole cover; intersection of 24th St &37th Ave,2020,Southern Cross,<Null>,<Null>,2/21/20 17:52,Jackie.Butts1,2/21/20 17:52,Jackie.Butts1,10579346,9200020869,<Null>,<Null>,-86.82347,33.557926
20872,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,250,CGI,<Null>,<Null>,2525,36TH AVE N,Carraway Blvd,<Null>,Birmingham,City of Birmingham Sanitary Sewer; intersection of 36th Ave & Carraway Blvd,2020,Southern Cross,<Null>,<Null>,2/21/20 18:35,Jackie.Butts1,2/21/20 18:35,Jackie.Butts1,10579348,9200020872,<Null>,<Null>,-86.820465,33.557618
