,Unnamed: 0,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,PolyLK
3,3,06/20/2020 02:14:02.932,2.41458,18.032,0.95,0.01,0.41600000000000004,221.2,20,12.6,3,33.6895523071,-86.6210327148,P5,3,P5L3
4,4,06/20/2020 01:51:39.444,2.8884,8.174,0.973,0.006999999999999999,0.88,182.4,25,25.4,5,33.6844978333,-86.6179122925,P5,4,P5L4
5,5,06/19/2020 02:29:41.643,3.19447,17.968,0.991,0.006999999999999999,1.158,264.0,29,72.6,1,33.684677124000004,-86.6179351807,P5,5,P5L5
6,6,06/25/2020 01:13:27.168,2.12683,11.51,0.848,0.012,0.249,227.4,14,4.5,2,33.6942176819,-86.6166305542,P5,6,P5L6
7,7,06/24/2020 23:41:24.838,3.4415400000000003,9.604,0.998,0.008,1.5390000000000001,190.6,22,12.9,2,33.6829948425,-86.6209564209,P5,7,P5L7
8,8,06/25/2020 01:07:42.796,2.35925,5.775,0.93,0.006999999999999999,0.48200000000000004,255.1,17,13.9,2,33.7055854797,-86.6078643799,P5,8,P5L8
9,9,06/18/2020 01:18:14.604,2.32032,11.298,0.809,0.006,0.336,193.6,11,6.9,1,33.6775093079,-86.6310119629,P5,9,P5L9
10,10,06/19/2020 01:44:10.123,2.06986,14.195,0.835,0.006999999999999999,0.057,119.7,7,0.6,1,33.6974105835,-86.6135559082,P5,10,P5L10
11,11,06/19/2020 02:38:03.915,2.05878,2.903,0.77,0.023,0.028999999999999998,65.5,5,0.2,1,33.698505401599995,-86.61100769040002,P5,11,P5L11
12,12,06/20/2020 01:24:46.542,2.10881,15.207,0.8059999999999999,0.006,0.067,120.3,7,1.0,1,33.6689414978,-86.6359481812,P5,12,P5L12
13,13,06/20/2020 02:02:46.376,2.1151400000000002,9.096,0.774,0.009000000000000001,0.10400000000000001,155.4,8,1.2,1,33.6934928894,-86.6173019409,P5,13,P5L13
14,14,06/20/2020 02:16:18.408,2.10019,12.167,0.753,0.006999999999999999,0.075,93.9,5,0.6,1,33.6712226868,-86.63521575930001,P5,14,P5L14
15,15,06/24/2020 23:27:28.640,1.9983099999999998,4.6530000000000005,0.924,0.021,0.122,7.4,21,0.1,1,33.6399497986,-86.61437988280001,P5,15,P5L15
16,16,06/25/2020 00:33:42.374,1.96071,9.872,0.8340000000000001,0.013000000000000001,0.087,67.3,9,0.1,1,33.673500061,-86.58868408200001,P5,16,P5L16
17,17,06/25/2020 00:53:31.545,3.6244,7.183,0.991,0.005,1.7309999999999999,193.9,17,52.6,1,33.7130889893,-86.62196350100001,P5,17,P5L17
18,18,06/25/2020 01:08:09.420,2.20151,7.521,0.9309999999999999,0.015,0.324,311.9,20,9.9,1,33.7045898438,-86.60411071780001,P5,18,P5L18
19,19,06/25/2020 01:09:39.532,2.34553,13.277000000000001,0.914,0.01,0.444,246.2,17,4.2,1,33.6985664368,-86.6089859009,P5,19,P5L19
20,20,06/25/2020 01:14:13.350,2.22912,11.681,0.9420000000000001,0.01,0.35200000000000004,189.3,12,5.4,1,33.6903305054,-86.62141418459998,P5,20,P5L20
21,21,06/25/2020 01:18:03.750,1.9334,7.754,0.765,0.011000000000000001,0.05,43.0,5,0.1,1,33.6913452148,-86.6287002563,P5,21,P5L21
22,22,06/25/2020 01:27:50.707,1.9201099999999998,-1.2770000000000001,0.721,0.009000000000000001,0.044000000000000004,79.1,5,0.3,1,33.688621521,-86.6217041016,P5,22,P5L22
23,23,06/25/2020 01:31:50.425,2.32998,0.83,0.8959999999999999,0.006999999999999999,0.446,207.0,11,9.3,1,33.658447265599996,-86.64303588870001,P5,23,P5L23
0,0,06/24/2020 23:27:28.640,1.9983099999999998,4.6530000000000005,0.924,0.021,0.122,7.4,21,0.1,3,33.6399498,-86.61437988,P6,0,P6L0
1,1,06/24/2020 23:41:24.838,3.4415400000000003,9.604,0.998,0.008,1.5390000000000001,190.6,22,12.9,2,33.68299484,-86.62095642,P6,1,P6L1
2,2,06/25/2020 01:12:53.273,2.41266,17.304000000000002,0.987,0.012,0.535,328.5,22,13.6,2,33.69768524,-86.61309814,P6,2,P6L2
3,3,07/20/2020 23:15:36.752,2.56509,0.16399999999999998,0.955,0.008,0.58,301.7,18,17.1,3,33.70560455,-86.60807037,P6,3,P6L3
4,4,06/25/2020 01:16:45.926,3.7298400000000003,24.057,0.998,0.009000000000000001,1.849,175.7,18,30.2,2,33.69096375,-86.62664795,P6,4,P6L4
5,5,07/20/2020 22:18:57.174,2.2883,6.5360000000000005,0.981,0.011000000000000001,0.35200000000000004,170.5,19,4.9,2,33.68420792,-86.59925842,P6,5,P6L5
6,6,06/24/2020 23:12:59.059,2.0132,5.11,0.98,0.085,0.08,48.0,32,0.3,1,33.64469147,-86.60262299,P6,6,P6L6
7,7,06/24/2020 23:33:08.915,1.8835400000000002,6.2010000000000005,0.856,0.07,0.01,123.4,7,0.1,1,33.64774704,-86.6325531,P6,7,P6L7
8,8,06/24/2020 23:55:32.096,1.9314,7.045,0.893,0.073,0.019,88.9,10,0.0,1,33.67608643,-86.61362457,P6,8,P6L8
9,9,06/24/2020 23:56:41.728,1.91642,5.367999999999999,0.792,0.048,0.012,10.7,7,0.1,1,33.68012238,-86.61462402,P6,9,P6L9
10,10,06/25/2020 00:33:42.374,1.96071,9.872,0.8340000000000001,0.013000000000000001,0.087,67.3,9,0.1,1,33.67350006,-86.58868408,P6,10,P6L10
11,11,06/25/2020 00:53:31.545,3.6244,7.183,0.991,0.005,1.7309999999999999,193.9,17,52.6,1,33.71308899,-86.6219635,P6,11,P6L11
12,12,06/25/2020 01:08:09.420,2.20151,7.521,0.9309999999999999,0.015,0.324,311.9,20,9.9,1,33.70458984,-86.60411072,P6,12,P6L12
13,13,06/25/2020 01:09:39.532,2.34553,13.277000000000001,0.914,0.01,0.444,246.2,17,4.2,1,33.69856644,-86.60898590000001,P6,13,P6L13
14,14,06/25/2020 01:13:27.168,2.12683,11.51,0.848,0.012,0.249,227.4,14,4.5,1,33.69421768,-86.61663055,P6,14,P6L14
15,15,06/25/2020 01:14:13.350,2.22912,11.681,0.9420000000000001,0.01,0.35200000000000004,189.3,12,5.4,1,33.69033051,-86.62141418,P6,15,P6L15
16,16,06/25/2020 01:18:03.750,1.9334,7.754,0.765,0.011000000000000001,0.05,43.0,5,0.1,1,33.69134521,-86.62870026,P6,16,P6L16
17,17,06/25/2020 01:18:31.398,3.1360200000000003,20.866999999999997,0.997,0.011000000000000001,1.247,156.1,12,27.4,1,33.69039154,-86.62908173,P6,17,P6L17
18,18,06/25/2020 01:27:50.707,1.9201099999999998,-1.2770000000000001,0.721,0.009000000000000001,0.044000000000000004,79.1,5,0.3,1,33.68862152,-86.6217041,P6,18,P6L18
19,19,06/25/2020 01:31:50.425,2.32998,0.83,0.8959999999999999,0.006999999999999999,0.446,207.0,11,9.3,1,33.65844727,-86.64303589,P6,19,P6L19
20,20,07/20/2020 22:06:25.968,2.04999,12.198,0.996,0.081,0.187,4581.9,8,0.1,1,33.69073486,-86.62015533,P6,20,P6L20
21,21,07/20/2020 22:08:12.464,2.05927,12.014000000000001,0.764,0.019,0.196,117.4,7,5.4,1,33.69804764,-86.61226654,P6,21,P6L21
22,22,07/20/2020 23:10:16.035,2.03627,1.218,0.852,0.06,0.008,52.3,7,0.1,1,33.71040726,-86.62779999,P6,22,P6L22
23,23,07/20/2020 23:11:45.123,2.01612,-0.5,0.879,0.062,0.03,55.3,5,0.1,1,33.70700073,-86.63384247,P6,23,P6L23
0,0,06/25/2020 02:05:38.867,2.28442,9.652000000000001,0.825,0.006,0.392,259.7,13,8.2,5,33.671546936,-86.6351318359,P7,0,P7L0
0,0,06/29/2020 23:19:02.739,4.0441199999999995,14.092,0.987,0.003,2.137,245.3,16,35.4,3,33.6924552917,-86.63954925540001,P8,0,P8L0
1,1,06/25/2020 03:27:08.467,2.99605,4.035,0.9540000000000001,0.004,1.048,152.9,10,16.7,1,33.696857452399996,-86.63277435299999,P8,1,P8L1
2,2,06/25/2020 03:42:18.598,2.32239,4.191,0.968,0.012,0.415,114.1,11,4.4,1,33.6903953552,-86.6214294434,P8,2,P8L2
3,3,06/26/2020 23:21:07.857,1.9200700000000002,-0.36700000000000005,0.9640000000000001,0.011000000000000001,0.013000000000000001,2331.7,7,0.1,1,33.7040596008,-86.63954925540001,P8,3,P8L3
4,4,06/26/2020 23:42:12.497,2.07599,1.364,0.865,0.013999999999999999,0.147,115.7,13,1.7,1,33.6921081543,-86.64331817629999,P8,4,P8L4
5,5,06/26/2020 23:42:48.337,2.03697,0.055999999999999994,0.868,0.012,0.081,64.3,10,0.2,1,33.691570282,-86.6433334351,P8,5,P8L5
6,6,06/26/2020 23:55:28.657,2.00434,3.137,0.8009999999999999,0.022000000000000002,0.068,44.6,6,0.2,1,33.696182250999996,-86.63804626459999,P8,6,P8L6
7,7,06/26/2020 23:56:32.145,2.2787,4.281000000000001,0.779,0.006999999999999999,0.342,131.0,10,6.5,1,33.694667816199996,-86.6369247437,P8,7,P8L7
8,8,06/26/2020 23:57:03.889,2.32294,4.69,0.8079999999999999,0.006,0.387,174.2,13,20.8,1,33.6957893372,-86.6384048462,P8,8,P8L8
9,9,06/26/2020 23:58:00.209,2.61741,6.9479999999999995,0.951,0.005,0.677,148.4,14,6.6,1,33.701000213600004,-86.6352767944,P8,9,P8L9
10,10,06/29/2020 22:54:52.345,1.98785,8.56,0.7759999999999999,0.006,0.08900000000000001,109.6,8,0.8,1,33.708461761500004,-86.63257598879999,P8,10,P8L10
11,11,06/29/2020 23:18:16.659,2.87879,13.404000000000002,0.9790000000000001,0.006999999999999999,0.972,152.9,11,13.2,1,33.6963806152,-86.6339035034,P8,11,P8L11
0,0,06/30/2020 01:48:04.000,2.32648,3.071,0.82,0.005,0.42100000000000004,180.8,16,5.9,2,33.679908752399996,-86.68516540530001,P10,0,P10L0
1,1,06/30/2020 01:56:21.664,3.4428199999999998,3.208,0.792,0.001,1.545,113.5,20,18.7,5,33.679046630900004,-86.68600463870001,P10,1,P10L1
2,2,07/01/2020 23:54:36.584,2.68749,12.03,0.968,0.008,0.6920000000000001,291.5,18,13.9,2,33.6812705994,-86.6786270142,P10,2,P10L2
3,3,07/01/2020 23:25:29.537,2.91359,1.776,0.945,0.003,0.977,186.5,22,15.4,3,33.679237365700004,-86.68668365479999,P10,3,P10L3
4,4,06/30/2020 01:48:58.272,2.40686,3.5660000000000003,0.898,0.006,0.496,121.1,13,4.1,1,33.6829223633,-86.6898651123,P10,4,P10L4
5,5,06/30/2020 22:02:21.534,1.90251,5.02,0.753,0.02,0.01,50.1,5,0.1,1,33.67735672,-86.6866531372,P10,5,P10L5
6,6,07/01/2020 23:08:38.747,1.93595,3.7910000000000004,0.856,0.027000000000000003,0.016,140.2,8,0.0,1,33.6415672302,-86.62420654299999,P10,6,P10L6
7,7,07/01/2020 23:10:20.123,2.20191,8.187999999999999,0.9209999999999999,0.008,0.301,423.1,23,20.8,1,33.6508865356,-86.6361694336,P10,7,P10L7
8,8,07/01/2020 23:11:36.104,1.9455900000000002,8.339,0.7979999999999999,0.027000000000000003,0.045,96.5,7,0.4,1,33.6545562744,-86.6474304199,P10,8,P10L8
9,9,07/01/2020 23:11:54.536,2.39397,10.913,0.94,0.006,0.493,208.4,13,18.1,1,33.6542701721,-86.6504211426,P10,9,P10L9
10,10,07/01/2020 23:12:18.088,2.0335099999999997,9.127,0.762,0.011000000000000001,0.132,180.2,10,3.2,1,33.6532211304,-86.6543502808,P10,10,P10L10
11,11,07/01/2020 23:12:46.862,1.9927,10.037,0.934,0.02,0.092,313.5,16,4.7,1,33.6538734436,-86.65957641600001,P10,11,P10L11
12,12,07/01/2020 23:13:06.318,1.98863,9.98,0.777,0.009000000000000001,0.078,109.7,6,1.3,1,33.6564674377,-86.6615447998,P10,12,P10L12
13,13,07/01/2020 23:13:43.182,1.96628,9.591000000000001,0.877,0.013000000000000001,0.051,149.7,8,1.2,1,33.6621551514,-86.6637268066,P10,13,P10L13
14,14,07/01/2020 23:14:24.142,2.32499,13.232999999999999,0.986,0.012,0.41,187.4,11,11.6,1,33.6684570312,-86.66539001459999,P10,14,P10L14
15,15,07/01/2020 23:15:51.182,2.01792,5.474,0.943,0.028999999999999998,0.08800000000000001,176.5,11,1.9,1,33.6786689758,-86.67281341549999,P10,15,P10L15
16,16,07/01/2020 23:16:34.292,2.52714,5.37,0.965,0.008,0.597,356.8,24,25.9,1,33.6814460754,-86.6792755127,P10,16,P10L16
17,17,07/01/2020 23:17:34.708,1.97518,-0.7040000000000001,0.75,0.017,0.045,63.1,6,0.2,1,33.684677124000004,-86.6826782227,P10,17,P10L17
18,18,07/01/2020 23:18:39.220,2.1739599999999997,-2.173,0.8759999999999999,0.006999999999999999,0.245,286.1,20,4.7,1,33.6776390076,-86.6813735962,P10,18,P10L18
19,19,07/01/2020 23:44:25.256,2.0718099999999997,0.688,0.7340000000000001,0.012,0.092,0.7,5,0.0,1,33.6673316956,-86.683883667,P10,19,P10L19
0,0,07/02/2020 01:19:13.371,3.86984,9.888,0.9440000000000001,0.002,1.874,176.8,13,48.6,2,33.6864128113,-86.6763153076,P11,0,P11L0
1,1,07/02/2020 22:15:10.544,2.58065,3.426,0.915,0.005,0.669,111.1,13,6.5,2,33.684932708699996,-86.6708450317,P11,1,P11L1
2,2,07/02/2020 21:33:06.179,2.33921,13.067,0.9259999999999999,0.015,0.263,7.4,19,0.3,2,33.6953315735,-86.6826248169,P11,2,P11L2
3,3,07/02/2020 22:41:13.372,2.32599,14.424000000000001,0.976,0.017,0.39799999999999996,165.1,18,7.9,2,33.6964225769,-86.6801986694,P11,3,P11L3
4,4,06/30/2020 23:55:33.931,2.00158,-1.9369999999999998,0.76,0.003,0.11800000000000001,80.1,7,0.8,1,33.6859588623,-86.6762008667,P11,4,P11L4
5,5,07/02/2020 00:35:04.590,2.06792,9.448,0.797,0.023,0.07200000000000001,84.9,9,0.6,1,33.6961479187,-86.67980957030001,P11,5,P11L5
6,6,07/02/2020 21:57:29.577,2.0669999999999997,1.66,0.7979999999999999,0.023,0.10099999999999999,16.8,5,0.1,1,33.687118530300005,-86.6842422485,P11,6,P11L6
7,7,07/02/2020 22:01:10.864,2.30327,0.746,0.778,0.006999999999999999,0.337,61.2,6,5.9,1,33.6887054443,-86.684715271,P11,7,P11L7
8,8,07/02/2020 22:22:45.302,2.83053,9.992,0.9420000000000001,0.004,0.905,195.7,13,15.2,1,33.6875419617,-86.6772613525,P11,8,P11L8
0,0,10/14/2020 23:45:13.600,4.38171,14.731,0.985,0.002,2.875,55.7,10,87.1,1,33.66831589,-86.5436554,P12,0,P12L0
1,1,10/25/2020 23:51:33.904,3.7899800000000003,9.315,0.985,0.003,2.335,31.8,5,82.5,3,33.66280365,-86.53675079,P12,1,P12L1
2,2,10/06/2020 02:02:08.800,6.900860000000001,44.71,0.996,0.006999999999999999,5.433,144.8,13,88.1,7,33.66119385,-86.52923584,P12,2,P12L2
3,3,10/13/2020 22:53:49.105,3.55479,5.417000000000001,0.958,0.001,2.123,19.4,11,4.3,1,33.64679337,-86.5395813,P12,3,P12L3
4,4,10/13/2020 23:16:46.078,4.46716,11.800999999999998,0.9790000000000001,0.001,3.032,94.9,14,22.7,1,33.64148712,-86.53022766,P12,4,P12L4
5,5,10/06/2020 02:31:46.873,3.5559800000000004,21.633000000000003,0.993,0.004,2.0340000000000003,55.0,12,99.0,2,33.6362381,-86.53321838,P12,5,P12L5
6,6,10/26/2020 00:52:44.841,3.87903,11.697000000000001,0.937,0.002,2.211,58.0,11,6.3,2,33.64047623,-86.52880096,P12,6,P12L6
7,7,10/23/2020 00:35:50.800,3.33681,9.273,0.9690000000000001,0.002,1.9769999999999999,40.6,6,7.4,1,33.63744736,-86.53289032,P12,7,P12L7
8,8,10/06/2020 02:35:12.902,3.53265,18.461,0.9570000000000001,0.003,1.932,26.3,11,1.8,1,33.64082336,-86.5296936,P12,8,P12L8
9,9,10/13/2020 23:24:44.388,3.50463,9.135,0.992,0.002,2.059,5.7,7,3.2,2,33.63320541,-86.52281952,P12,9,P12L9
10,10,10/14/2020 23:02:01.753,5.5307,21.234,0.968,0.003,3.4219999999999997,80.2,7,55.1,2,33.64692307,-86.52166748,P12,10,P12L10
11,11,10/06/2020 02:53:44.864,3.5870800000000003,15.517999999999999,0.943,0.003,0.11800000000000001,134.8,11,2.4,1,33.64244461,-86.52411652,P12,11,P12L11
12,12,10/06/2020 03:07:45.363,3.5661199999999997,15.15,0.98,0.003,1.906,93.6,6,79.8,1,33.6590271,-86.52603149,P12,12,P12L12
13,13,10/26/2020 01:02:12.342,3.6052199999999996,11.869000000000002,0.941,0.002,2.086,68.6,10,82.5,1,33.65681839,-86.52098084,P12,13,P12L13
14,14,10/23/2020 00:19:44.758,3.35669,20.813000000000002,0.9359999999999999,0.004,1.702,26.7,6,2.2,1,33.66475677,-86.5236969,P12,14,P12L14
15,15,10/14/2020 00:09:21.022,3.9319599999999997,15.449000000000002,0.9940000000000001,0.002,2.4930000000000003,72.6,11,72.8,1,33.66821289,-86.52198029,P12,15,P12L15
16,16,10/23/2020 00:06:55.529,3.39106,8.183,0.862,0.002,1.801,48.6,5,22.3,1,33.66027832,-86.52674866,P12,16,P12L16
17,17,10/06/2020 03:29:19.494,3.58205,13.231,0.929,0.002,2.0909999999999997,47.0,5,38.7,1,33.66526031,-86.50889587,P12,17,P12L17
18,18,10/14/2020 22:18:28.710,3.7913,13.505999999999998,0.937,0.018000000000000002,2.259,4142.6,11,1.7,1,33.66458511,-86.53941345,P12,18,P12L18
19,19,10/13/2020 22:55:02.833,3.56008,8.677,0.978,0.002,2.059,67.3,5,20.3,1,33.64825821,-86.53941345,P12,19,P12L19
20,20,10/13/2020 23:01:54.993,3.55617,9.675,0.98,0.002,2.0709999999999997,50.4,7,20.1,1,33.65480423,-86.53170013,P12,20,P12L20
21,21,10/14/2020 22:59:15.558,7.0329999999999995,18.399,0.914,0.002,4.47,126.4,10,90.9,1,33.63467407,-86.52697754,P12,21,P12L21
22,22,10/14/2020 22:59:44.435,7.3368899999999995,18.663,0.9590000000000001,0.002,4.774,87.6,8,51.5,1,33.63651657,-86.52597046,P12,22,P12L22
23,23,10/23/2020 00:37:04.528,3.3665800000000004,9.607999999999999,0.732,0.002,2.0069999999999997,10.2,7,15.5,1,33.63986206,-86.52820587,P12,23,P12L23
24,24,10/26/2020 00:55:03.081,3.54538,10.668,0.972,0.002,2.1180000000000003,86.9,8,18.0,1,33.64999771,-86.5282135,P12,24,P12L24
25,25,10/14/2020 22:42:56.000,4.194780000000001,5.073,0.738,0.001,2.5839999999999996,2.0,8,2.2,1,33.65579605,-86.52725983,P12,25,P12L25
26,26,10/14/2020 00:03:07.057,3.6371599999999997,12.117,0.995,0.002,2.199,52.1,5,7.9,1,33.65697098,-86.5209198,P12,26,P12L26
27,27,10/14/2020 00:18:46.372,4.64476,16.885,0.995,0.002,3.208,119.3,7,22.3,2,33.64460754,-86.57254791,P12,27,P12L27
28,28,10/14/2020 22:40:35.609,4.52151,3.3369999999999997,0.8540000000000001,0.001,2.844,5.4,5,3.9,2,33.65721512,-86.52812195,P12,28,P12L28
29,29,10/14/2020 22:48:51.532,7.90877,8.927,0.971,0.001,5.965,180.4,14,38.6,1,33.6421814,-86.53310394,P12,29,P12L29
30,30,10/14/2020 23:35:48.249,3.88599,15.945,0.99,0.003,2.293,126.9,8,38.6,3,33.65951538,-86.51950073,P12,30,P12L30
31,31,10/26/2020 00:59:50.825,3.52695,12.213,0.9520000000000001,0.002,2.026,32.6,5,75.5,2,33.660118100000005,-86.52597809,P12,31,P12L31
32,32,10/26/2020 00:46:25.961,3.57315,9.956,0.8809999999999999,0.002,2.0469999999999997,14.5,5,6.8,1,33.64170456,-86.52476501,P12,32,P12L32
33,33,10/06/2020 01:53:56.768,3.46674,16.834,0.922,0.003,0.027000000000000003,0.4,5,1.2,1,33.69284439,-86.52641296,P12,33,P12L33
34,34,10/06/2020 02:17:14.016,3.54675,21.183000000000003,0.9840000000000001,0.005,1.906,47.1,8,25.7,1,33.65912628,-86.53104401,P12,34,P12L34
35,35,10/06/2020 03:25:23.872,3.5676699999999997,16.712,0.91,0.054000000000000006,0.084,119.0,6,2.5,1,33.69462585,-86.50816345,P12,35,P12L35
36,36,10/06/2020 03:26:17.120,3.6075199999999996,14.79,0.848,0.003,0.096,113.3,7,2.6,1,33.68752670000001,-86.50858307,P12,36,P12L36
37,37,10/06/2020 03:30:03.628,3.55654,12.584000000000001,0.951,0.002,2.065,24.1,5,18.0,1,33.66541289999999,-86.51041412,P12,37,P12L37
38,38,10/06/2020 03:35:30.284,3.9843599999999997,12.052999999999999,0.935,0.002,2.334,28.8,11,2.7,1,33.63315582,-86.5220871,P12,38,P12L38
