,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
21,Spire_1606826202.4,-86.8226016043562,33.554829377318995,False,1,27.108068733909878,9.992885000000003,2.7585575,0.05,2020-12-01 05:36:42,POINT (-86.82260160435619 33.554829377319),True,P3,22,P322
22,Spire_1606826497.4,-86.8138692038887,33.55851533570497,True,3,30.194523971516126,3.837978999999999,0.3087075000000001,0.05,2020-12-01 05:41:37,POINT (-86.8138692038887 33.55851533570497),True,P3,23,P323
23,Spire_1606826742.8,-86.81293903748451,33.55882547819765,True,2,27.77176115060534,25.483475,2.4418700000000007,0.05,2020-12-01 05:45:42,POINT (-86.81293903748451 33.55882547819765),True,P3,24,P324
24,Spire_1606826755.3,-86.81459095228468,33.55831978298389,True,3,6.843029268944299,4.255794999999999,0.3749958333333332,0.05,2020-12-01 05:45:55,POINT (-86.81459095228468 33.55831978298389),True,P3,25,P325
25,Spire_1606827004.4,-86.82744504727528,33.55454314719992,False,1,3.8861452430576655,3.6181175,0.5302599999999997,0.05,2020-12-01 05:50:04,POINT (-86.82744504727528 33.55454314719992),True,P3,26,P326
26,Spire_1606827084.3,-86.82665991353419,33.55475482854136,True,2,1.3405475054119584,3.1968112499999988,0.30539625000000004,0.05,2020-12-01 05:51:24,POINT (-86.82665991353419 33.55475482854136),True,P3,27,P327
27,Spire_1606827092.4,-86.82592512723284,33.555276035042326,True,8,27.633073374999906,9.849809399999998,1.206101,0.05,2020-12-01 05:51:32,POINT (-86.82592512723284 33.55527603504233),True,P3,28,P328
28,Spire_1606827136.5,-86.81960362015344,33.55607563922794,True,5,9.79698632598796,3.3615894230769223,1.3226946153846153,0.05,2020-12-01 05:52:16,POINT (-86.81960362015344 33.55607563922794),True,P3,29,P329
29,Spire_1606827176.4,-86.81591477961331,33.55774880347729,True,3,22.258846353875366,10.532006000000004,0.9173705,0.05,2020-12-01 05:52:56,POINT (-86.81591477961331 33.55774880347729),True,P3,30,P330
30,Spire_1606827495.2,-86.81453515691669,33.551543338131665,True,2,12.469888817234066,2.781271785714286,1.720065357142857,0.05,2020-12-01 05:58:15,POINT (-86.81453515691669 33.55154333813167),True,P3,31,P331
31,Spire_1606827940.3,-86.81745369568334,33.560909625316235,False,1,9.372383432495983,5.6710650000000005,0.6571425000000002,0.05,2020-12-01 06:05:40,POINT (-86.81745369568334 33.56090962531623),True,P3,32,P332
32,Spire_1606827976.3,-86.81880601179775,33.56117641838223,True,5,21.060963022170306,12.326878305555557,1.200241111111111,0.05,2020-12-01 06:06:16,POINT (-86.81880601179775 33.56117641838223),True,P3,33,P333
33,Spire_1606828113.8,-86.8165969849,33.5562667847,False,1,0.0,0.6059600000000005,1.6505375000000004,0.05,2020-12-01 06:08:33,POINT (-86.8165969849 33.5562667847),True,P3,34,P334
34,Spire_1606828123.5,-86.8163528442,33.555676552926805,False,1,3.0522317304909032,2.4880274999999994,1.7225500000000002,0.05,2020-12-01 06:08:43,POINT (-86.8163528442 33.5556765529268),True,P3,35,P335
35,Spire_1606828167.1,-86.81572844022725,33.55337890246577,True,3,19.31752980029508,5.806375949999999,1.4568795,0.05,2020-12-01 06:09:27,POINT (-86.81572844022725 33.55337890246577),True,P3,36,P336
36,Spire_1606828194.8,-86.8149256065892,33.552522762165424,True,2,19.74567324091237,4.47928,1.75736625,0.05,2020-12-01 06:09:54,POINT (-86.8149256065892 33.55252276216542),True,P3,37,P337
37,Spire_1606828274.9,-86.81682498397578,33.553219542411014,True,2,8.444332525467534,3.058062500000002,1.8313075,0.05,2020-12-01 06:11:14,POINT (-86.81682498397578 33.55321954241101),True,P3,38,P338
38,Spire_1606828711.8,-86.81811259126103,33.55953690028058,True,2,12.61156435942515,9.942947499999997,1.4775775,0.05,2020-12-01 06:18:31,POINT (-86.81811259126103 33.55953690028058),True,P3,39,P339
39,Spire_1606828854.4,-86.82245353674791,33.557966568140756,True,2,17.884783841927494,2.7448108333333336,1.2126008333333331,0.05,2020-12-01 06:20:54,POINT (-86.82245353674791 33.55796656814076),True,P3,40,P340
40,Spire_1606829272.3,-86.82176346153416,33.55849395831841,True,3,9.040822145548868,1.9444633333333323,0.4333591666666667,0.05,2020-12-01 06:27:52,POINT (-86.82176346153416 33.55849395831841),True,P3,41,P341
41,Spire_1606829297.9,-86.82337373647923,33.557883784223364,True,2,15.245311171075794,3.2276800000000003,0.9543299999999999,0.05,2020-12-01 06:28:17,POINT (-86.82337373647923 33.55788378422336),True,P3,42,P342
42,Spire_1606829374.9,-86.82182050239302,33.55699121080389,True,6,15.076597268873401,5.02784425,0.9918808333333332,0.05,2020-12-01 06:29:34,POINT (-86.82182050239302 33.55699121080389),True,P3,43,P343
43,Spire_1606829398.6,-86.82152240013569,33.55622135221963,True,5,18.281667242013565,5.129430714285714,0.5732778571428572,0.05,2020-12-01 06:29:58,POINT (-86.82152240013569 33.55622135221963),True,P3,44,P344
44,Spire_1606829587.3,-86.81866556276351,33.54936052152308,True,4,13.237063396504785,12.052639999999998,1.1971783333333332,0.05,2020-12-01 06:33:07,POINT (-86.81866556276351 33.54936052152308),True,P3,45,P345
45,Spire_1606834316.5,-86.81959533690002,33.5596008301,False,1,0.0,1.3428500000000003,0.18244999999999967,0.05,2020-12-01 07:51:56,POINT (-86.81959533690002 33.5596008301),True,P3,46,P346
46,Spire_1606834893.4,-86.82318878170004,33.552555093011435,False,1,0.9630865150029216,0.6335700000000006,1.8224899999999995,0.05,2020-12-01 08:01:33,POINT (-86.82318878170004 33.55255509301143),True,P3,47,P347
47,Spire_1606834900.6,-86.82280309232301,33.55167916430003,False,1,21.00479461158586,4.390370000000001,1.8692200000000003,0.05,2020-12-01 08:01:40,POINT (-86.82280309232301 33.55167916430003),True,P3,48,P348
48,Spire_1606834939.5,-86.82235021745842,33.550564726224664,False,1,14.221032952041865,4.0288745000000015,1.9398765,0.05,2020-12-01 08:02:19,POINT (-86.82235021745842 33.55056472622466),True,P3,49,P349
49,Spire_1606835248.5,-86.82521301868019,33.556284810787766,False,1,7.5533835206178335,2.389902499999998,1.6817975000000005,0.05,2020-12-01 08:07:28,POINT (-86.82521301868019 33.55628481078777),True,P3,50,P350
50,Spire_1606835359.3,-86.82464211024636,33.55216202809268,False,1,2.235613313634276,1.9428924999999992,0.1911424999999997,0.05,2020-12-01 08:09:19,POINT (-86.82464211024636 33.55216202809268),True,P3,51,P351
51,Spire_1606836614.3,-86.82811403783211,33.55272118413964,True,2,22.58963243045633,3.190623,1.3612905000000002,0.05,2020-12-01 08:30:14,POINT (-86.82811403783211 33.55272118413964),True,P3,52,P352
52,Spire_1606908920.4,-86.8238525760625,33.56327263329047,False,1,0.5390233407822063,0.7499150000000001,0.2053350000000012,0.05,2020-12-02 04:35:20,POINT (-86.82385257606251 33.56327263329047),True,P3,53,P353
53,Spire_1606909115.2,-86.82109848908794,33.560890125471104,False,1,10.971315593789294,1.8544525000000005,0.18436999999999992,0.05,2020-12-02 04:38:35,POINT (-86.82109848908794 33.5608901254711),True,P3,54,P354
54,Spire_1606909129.6,-86.82188415530001,33.5602340698,False,1,0.0,0.7090199999999984,0.18100000000000005,0.05,2020-12-02 04:38:49,POINT (-86.82188415530001 33.5602340698),True,P3,55,P355
55,Spire_1606909659.9,-86.8210144043,33.5549736023,False,1,0.0,1.46022,0.19565499999999947,0.05,2020-12-02 04:47:39,POINT (-86.8210144043 33.5549736023),True,P3,56,P356
56,Spire_1606909902.6,-86.82028556433781,33.55338998231018,False,1,18.658402176704254,1.5104800000000005,1.6965700000000001,0.05,2020-12-02 04:51:42,POINT (-86.82028556433781 33.55338998231018),True,P3,57,P357
57,Spire_1606919308.7,-86.81932067870001,33.55410385130001,False,1,0.0,6.071995000000001,2.0262700000000007,0.05,2020-12-02 07:28:28,POINT (-86.81932067870001 33.55410385130001),True,P3,58,P358
58,Spire_1606922828.2,-86.82069396969999,33.5542106628,False,1,0.0,2.89607,0.21244,0.05,2020-12-02 08:27:08,POINT (-86.82069396969999 33.5542106628),True,P3,59,P359
59,Spire_1606923418.1,-86.82531202573537,33.55368151278832,True,2,18.213195735832187,1.335495,0.9237725,0.05,2020-12-02 08:36:58,POINT (-86.82531202573537 33.55368151278832),True,P3,60,P360
