DATE,TIME,SECONDS,NANOSECONDS,VELOCITY,U,V,W,BCH4,BRSSI,TCH4,TRSSI,PRESS_MBAR,INLET,TEMPC,CH4,H20,C2H6,R,C2C1,BATTV,POWMV,CURRMA,SOCPER,LAT,LONG,bearing,U_cor,horz_length,adj_theta,totalWind,phi,raw_CH4,raw_R,U_avg,V_avg,W_avg,r_avg,theta_avg,distance,odometer
2020-12-03,11:47:51,1606996071,644000000,11.7,10.82,-4.3,1.13,1.92232,0,1.92232,0,240.112,0,-2.7122,1.92232,5751.61,9.11942,0.855418,0.00181522,11456,12488,-927,74,33.5576629639,-86.8158569336,2.7985694514266535,22.52,22.926848889457094,5.194964405621262,22.954679261536196,1.5272069709005638,1.92232,0.855418,-5.945929031775289,4.710899153705378,0.7216666666666637,7.585950361509774,0.900774416052035,18.917437884586658,46547.18620643109
2020-12-03,11:47:57,1606996077,788000000,13.9,13.1,-4.61,1.63,1.48148,0,1.48148,0,240.042,0,-35.3995,1.48148,6028.68,5.1894800000000005,0.845026,0.00178177,11786,11669,-984,74,33.5570678711,-86.8156204224,2.804135314777232,27.0,27.390730183768376,5.176245776272728,27.439187305749417,1.53430383268574,1.48148,0.845026,-11.094816361137992,1.8494465929748531,0.9523333333333301,11.247906595791129,1.4056204169659632,25.623120584118947,46689.24927067124
2020-12-03,11:48:53,1606996133,84000000,4.82,4.66,-1.16,0.49,1.44933,0,1.44933,0,240.079,0,-38.7073,1.44933,5577.49,3.3416699999999997,0.7401979999999999,0.00191752,11740,11634,-480,74,33.5520248413,-86.8134231567,5.905397881060619,9.48,9.550706780128893,8.308848095498693,9.563268269791452,1.4664721606285436,1.44933,0.7401979999999999,-11.854243128199277,-5.462732907574273,1.0479999999999967,13.052376448829333,-1.1389767898882541,9.58347940072964,47921.12350446262
2020-12-03,11:48:54,1606996134,108000000,5.94,5.55,-2.6,0.58,1.51515,0,1.51515,0,240.205,0,-28.97,1.51515,5491.22,3.61082,0.836254,0.00185982,11447,12453,-974,74,33.5520706177,-86.8134460449,5.915991050249824,11.49,11.780496593947133,8.351668312080792,11.794765788263877,1.4861132710500906,1.51515,0.836254,-10.69796753622941,-4.884292292954081,0.9806666666666631,11.760221962583401,-1.1424983282724814,11.816238090276954,47932.9397425529
2020-12-03,11:48:55,1606996135,132000000,5.76,5.35,-2.1,0.73,1.5000200000000001,0,1.5000200000000001,0,239.90099999999998,0,-30.6515,1.5000200000000001,5520.75,3.10087,0.898956,0.00189531,11752,11639,-700,74,33.552124023400005,-86.8134689331,5.8883729094287025,11.11,11.306728085525007,8.31304331270353,11.33026919362466,1.4825829392806236,1.5000200000000001,0.898956,-9.495311642498498,-4.305650438050319,0.9413333333333298,10.425908539923531,-1.145076964936882,14.704863404639477,47947.64460595754
2020-12-03,11:48:56,1606996136,156000100,7.41,7.4,-2.19,0.71,1.5118200000000002,0,1.5118200000000002,0,240.158,0,-29.1838,1.5118200000000002,5517.07,3.9197699999999998,0.912485,0.00182507,11510,12331,-1381,74,33.552192688000005,-86.8135070801,5.8698332435905645,14.81,14.97104538768085,8.27316394830196,14.987871763529338,1.5040997985796976,1.5118200000000002,0.912485,-8.194086851447391,-3.696873694535035,0.9046666666666633,8.989434600819349,-1.1469751742560588,17.601018822747623,47965.245624780284
2020-12-03,11:48:57,1606996137,180000000,7.58,7.8,-2.6,0.83,1.5126600000000001,0,1.5126600000000001,0,239.919,0,-28.772,1.5126600000000001,5540.34,3.61534,0.925009,0.00180965,11779,11665,-428,74,33.5522689819,-86.8135452271,5.940143492478289,15.379999999999999,15.598217846920845,8.349700573514989,15.620284888567172,1.5067740549850115,1.5126600000000001,0.925009,-6.868537135343958,-3.0230839512148844,0.8813333333333299,7.5043879800881825,-1.1561763108181737,18.917568114762023,47984.163192895045
2020-12-03,11:48:58,1606996138,204000000,8.43,7.91,-2.62,1.24,1.49509,0,1.49509,0,239.97299999999998,0,-31.5578,1.49509,5580.85,2.94408,0.936685,0.00184269,11779,11665,-428,74,33.552352905300005,-86.81357574459999,5.928461578374505,16.34,16.548715962273324,8.332685168686258,16.59510771281705,1.5104420675816348,1.49509,0.936685,-5.654889763662394,-2.3888137561821217,0.8713333333333299,6.138746565944766,-1.1711017026490214,20.355139864058216,48004.5183327591
2020-12-03,11:49:00,1606996140,252000000,8.69,8.28,-2.47,0.94,1.6577,0,1.6577,0,239.99,0,-9.8556,1.6577,5435.18,3.89048,0.938699,0.00180381,11500,12311,-1373,74,33.552532196,-86.81365966799999,5.955308599209443,16.97,17.14881337002651,8.352615312283852,17.174556762839615,1.5125492158183078,1.6577,0.938699,-3.2022685045502945,-1.1292365613057365,0.8346666666666631,3.3955410153058647,-1.2317747204280394,21.954114670891713,48047.87184496505
2020-12-03,11:49:01,1606996141,276000000,8.3,7.5,-2.73,0.9,1.88842,0,1.88842,0,239.933,0,15.1575,1.88842,5319.99,3.84924,0.943024,0.00180462,11787,11650,-433,74,33.552627563499996,-86.8136978149,5.938076061990385,15.8,16.034116751477146,8.347938126570842,16.059355528787574,1.5085099854405035,1.88842,0.943024,-2.027109884312742,-0.5038818996019129,0.8173333333333297,2.088796651621419,-1.327162513486674,22.988359810840336,48070.86020477589
2020-12-03,11:49:04,1606996144,348000000,10.4,9.8,-3.24,1.3,1.7906799999999998,0,1.7906799999999998,0,239.96200000000002,0,5.2845,1.7906799999999998,5365.31,3.6338,0.922595,0.00171539,11747,11643,-692,74,33.5529289246,-86.813835144,5.955874704444832,20.200000000000003,20.45819151342562,8.349402225653655,20.499453651256175,1.5219550245098217,1.7906799999999998,0.922595,1.4163618441584176,1.292927118171248,0.7896666666666632,1.9177438323432152,-0.8309265029454029,24.189677787462465,48142.71117445533
2020-12-03,11:49:05,1606996145,372000000,9.75,9.14,-3.25,0.99,1.7587099999999998,0,1.7587099999999998,0,239.893,0,1.9385,1.7587099999999998,5386.43,3.4253699999999996,0.9272290000000001,0.00171618,11510,12306,-1380,74,33.5530319214,-86.81387329100001,5.961420021500493,18.89,19.16754026994596,8.362939274438094,19.19308990235809,1.5186720492362087,1.7587099999999998,0.9272290000000001,2.5018858605973144,1.9210090848741117,0.7926666666666632,3.1543158947108703,-0.915984837754963,24.591701240399686,48167.302875695736
2020-12-03,11:49:08,1606996148,444000000,11.67,11.3,-3.52,1.46,1.6601400000000002,0,1.6601400000000002,0,239.828,0,-9.233,1.6601400000000002,5443.85,3.3513900000000003,0.925385,0.00168433,11448,12297,-1403,74,33.5533638,-86.81401824950001,5.923222421341865,22.97,23.23814321326039,8.304938335645392,23.283962291671923,1.5277901621142111,1.6601400000000002,0.925385,5.639211483473364,3.5728466675914765,0.8766666666666632,6.6757725744259275,-1.0060565890455118,28.099779505373025,48247.68653442354
2020-12-03,11:49:20,1606996160,732000000,12.53,11.89,-3.64,1.54,1.7243700000000002,0,1.7243700000000002,0,239.857,0,-4.5738,1.7243700000000002,5329.47,2.93194,0.904436,0.00115966,11778,11634,-437,73,33.5548744202,-86.8146438599,5.952629236593091,24.42,24.689795462903295,8.327438189084083,24.737776779654233,1.530315889446409,1.7243700000000002,0.904436,16.15989321139767,8.5218516638311,1.1529999999999967,18.26921192564467,-1.0855121665284468,30.49483133457451,48603.91068555364
2020-12-03,11:49:53,1606996193,603000000,4.23,4.18,0.64,0.19,1.6153600000000001,0,1.6153600000000001,0,240.09900000000002,0,-17.184,1.6153600000000001,5508.75,2.38605,0.6295149999999999,-1.0,11748,12449,-957,73,33.5578536987,-86.8158721924,0.18310964090516685,8.41,8.434316806950045,2.4927728551255552,8.436456602152353,1.4527839965143081,1.6153600000000001,0.6295149999999999,12.239452403979866,6.464629352561466,0.8276666666666633,13.841807245272845,-1.0848599881118466,3.882484125263696,49292.109639667055
2020-12-03,11:49:54,1606996194,627000000,5.89,5.65,-1.6,0.54,1.60859,0,1.60859,0,240.166,0,-18.25,1.60859,5539.36,2.4507,0.742931,0.00134536,11459,12252,-1213,73,33.5578765869,-86.81586456299999,0.44441649811672107,11.54,11.650390551393546,2.850797312378379,11.662898439067366,1.4851721610030195,1.60859,0.742931,11.682217177677527,6.479182020197127,0.8046666666666632,13.358667517281416,-1.0644136188969102,6.57736897035749,49298.68700863741
2020-12-03,11:49:55,1606996195,651000000,6.69,6.19,-2.43,0.75,1.59586,0,1.59586,0,239.94799999999998,0,-20.1934,1.59586,5564.85,2.54013,0.7964979999999999,0.00132409,11459,12252,-1213,73,33.557907104499996,-86.8158416748,0.753147499083335,12.88,13.10722319944236,3.1745720169291562,13.128663298295072,1.494650030627733,1.59586,0.7964979999999999,11.015684523123541,6.584493372358384,0.7876666666666632,12.833583228530332,-1.0320417125945225,9.302860214461656,49307.98986885187
2020-12-03,11:49:56,1606996196,675000000,8.13,7.6,-2.81,0.68,1.5311700000000001,0,1.5311700000000001,0,239.80700000000002,0,-28.749,1.5311700000000001,5656.57,2.81955,0.827736,0.00124652,11715,11649,-656,73,33.5579376221,-86.8157958984,1.0303726917964622,15.73,15.979017491698293,3.442393147041203,15.993479921518018,1.5082957660065586,1.5311700000000001,0.827736,10.200410579162154,6.7601173142559015,0.7603333333333299,12.237138639648798,-0.985524115641576,12.36665461605245,49320.356523467926
