,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
45,Spire_1606835249.5,-86.82526184602995,33.55627290042529,False,1,5.673781223809184,2.389902499999998,1.6769900000000002,0.05,2020-12-01 08:07:29,POINT (-86.82526184602995 33.55627290042529),True,P3,46,P3L46
46,Spire_1606836615.3,-86.8280701653433,33.552608840165185,True,2,22.58963243045633,4.026395833333335,1.935298333333333,0.05,2020-12-01 08:30:15,POINT (-86.82807016534331 33.55260884016518),True,P3,47,P3L47
47,Spire_1606908885.5,-86.8228528118182,33.560573203401965,False,1,0.4381298619766661,2.625804999999998,0.2362875,0.05,2020-12-02 04:34:45,POINT (-86.82285281181819 33.56057320340197),True,P3,48,P3L48
48,Spire_1606908921.4,-86.82386400168127,33.56333556655008,False,1,0.565518772433526,1.4106975,0.2053350000000012,0.05,2020-12-02 04:35:21,POINT (-86.82386400168127 33.56333556655008),True,P3,49,P3L49
49,Spire_1606909116.3,-86.82113401568859,33.56084758866481,False,1,10.874938728590742,1.8544525000000005,0.18501000000000056,0.05,2020-12-02 04:38:36,POINT (-86.82113401568859 33.56084758866481),True,P3,50,P3L50
50,Spire_1606909903.6,-86.82031009280142,33.553447077435514,False,1,19.455980445700266,1.5104800000000005,1.69419,0.05,2020-12-02 04:51:43,POINT (-86.82031009280142 33.55344707743551),True,P3,51,P3L51
51,Spire_1606919309.9,-86.81932067870001,33.55410385130001,False,1,0.0,6.071995000000001,2.0262700000000007,0.05,2020-12-02 07:28:29,POINT (-86.81932067870001 33.55410385130001),True,P3,52,P3L52
52,Spire_1606923420.4,-86.82532461884377,33.55374008039845,False,1,17.86179257489292,4.57434,1.6616300000000002,0.05,2020-12-02 08:37:00,POINT (-86.82532461884377 33.55374008039845),True,P3,53,P3L53
53,Spire_1606923438.4,-86.82507339009659,33.55312175162077,False,1,2.5718851629424337,1.8953064999999998,1.581525,0.05,2020-12-02 08:37:18,POINT (-86.82507339009659 33.55312175162077),True,P3,54,P3L54
54,Spire_1606923571.8,-86.82305632133566,33.548320283191984,False,1,4.070430861177451,3.85964,0.3270100000000005,0.05,2020-12-02 08:39:31,POINT (-86.82305632133566 33.54832028319198),True,P3,55,P3L55
55,Spire_1606924548.2,-86.82662168862974,33.55296442265053,False,1,2.2341204864904083,3.277429999999999,1.7156399999999996,0.05,2020-12-02 08:55:48,POINT (-86.82662168862974 33.55296442265053),True,P3,56,P3L56
56,Spire_1606924556.4,-86.82637636295593,33.55238214300677,False,1,23.135980097959752,6.142319999999998,1.73354,0.05,2020-12-02 08:55:56,POINT (-86.82637636295593 33.55238214300677),True,P3,57,P3L57
